phone_number,email,credit_score,age_group,family_background,income,education_level,employment_type,website_engagement_score,last_contact_date,intent_score,intent_binary
+1-210-343-3218x1960,jesseguzman@example.net,642,26-35,Widowed,54390,Master's,Full-time,73,2025-02-18,84,1
+1-586-737-9402x6542,daviscolin@example.com,583,18-25,Widowed,33578,Master's,Full-time,33,2025-05-02,5,0
7785161849,williamsjeremy@example.com,626,36-45,Single,56752,Master's,Full-time,71,2025-07-10,84,1
516.647.5255,lynchgeorge@example.net,654,26-35,Married,29461,Bachelor's,Full-time,55,2025-02-27,83,1
364.583.5030x564,jason76@example.net,656,46-55,Married,61091,High School,Full-time,48,2025-04-06,69,1
423-988-4969x653,camposmichelle@example.org,732,36-45,Single,140721,Professional,Self-employed,58,2025-05-06,100,1
+1-669-716-6978x48018,cartereric@example.org,586,26-35,Single,64530,Master's,Full-time,54,2025-07-04,62,1
001-248-728-1489x3252,xsmith@example.com,647,18-25,Widowed,51062,Master's,Full-time,17,2025-02-26,37,0
991.417.1822,allison96@example.org,633,56+,Married with Kids,33404,Bachelor's,Full-time,57,2025-06-30,90,1
001-534-565-7871x33150,jonescrystal@example.org,734,56+,Married,15517,High School,Part-time,44,2025-01-26,73,1
4519834738,kristenaguirre@example.org,664,36-45,Married,43096,High School,Full-time,66,2025-01-30,74,1
+1-565-966-7010x65133,robertramirez@example.org,667,56+,Single,45447,Bachelor's,Self-employed,43,2025-06-20,66,1
478-810-8013,zolson@example.org,703,46-55,Single,82885,PhD,Full-time,34,2025-02-12,65,1
5646746872,tanyariley@example.net,672,46-55,Divorced,28194,High School,Full-time,24,2025-01-24,59,0
300-597-8820x81219,kwilson@example.org,672,56+,Married,21545,Bachelor's,Part-time,16,2025-04-28,49,0
5917699854,josephanderson@example.net,664,26-35,Single,55124,Master's,Full-time,49,2025-03-08,73,1
310-579-9118x38425,justin78@example.net,676,56+,Single,96510,Master's,Self-employed,61,2025-03-09,69,1
+1-680-584-1241x1824,james48@example.com,650,36-45,Married,35423,High School,Self-employed,66,2025-02-28,84,1
4169400524,hhoffman@example.org,717,46-55,Single,47691,Bachelor's,Full-time,16,2025-07-03,75,1
001-728-205-9826x204,jason31@example.com,646,56+,Single,62202,Bachelor's,Full-time,33,2025-06-03,67,1
(392)832-2602x56342,garrisonjeffrey@example.com,693,36-45,Single,15000,High School,Unemployed,31,2025-03-17,36,0
730.836.5414,sheila14@example.org,734,46-55,Divorced,100295,PhD,Self-employed,44,2025-04-28,91,1
501-696-5569x816,fletcheraaron@example.net,618,18-25,Single,15000,Bachelor's,Part-time,15,2025-05-17,32,0
001-735-861-5951x4846,angela36@example.net,744,26-35,Married with Kids,87512,Master's,Self-employed,71,2025-07-02,100,1
+1-729-994-6804x43699,nramos@example.net,697,26-35,Single,77976,Professional,Full-time,60,2025-04-09,100,1
001-221-248-9513x4332,traceycarr@example.org,681,36-45,Married,15000,High School,Part-time,61,2025-04-05,90,1
+1-993-267-6320x1632,samanthamartinez@example.org,531,18-25,Divorced,15000,Bachelor's,Retired,23,2025-06-07,25,0
+1-688-595-7986x87277,katie87@example.net,641,26-35,Married with Kids,21163,Professional,Part-time,65,2025-02-26,73,1
814.434.5581x223,calebrussell@example.net,635,56+,Married with Kids,15254,Master's,Part-time,52,2025-04-07,70,1
2367690967,karen68@example.net,739,56+,Divorced,58563,Bachelor's,Full-time,44,2025-05-26,79,1
+1-937-434-6706x562,meadowsbrittany@example.net,689,56+,Married,42719,Bachelor's,Full-time,79,2025-01-18,60,1
+1-862-672-0465x3755,fking@example.com,682,26-35,Married with Kids,27040,High School,Full-time,65,2025-01-17,93,1
+1-205-431-0033,davidcaldwell@example.net,695,46-55,Single,92244,Master's,Full-time,72,2025-07-03,97,1
645.829.9124x190,mdavid@example.org,737,46-55,Widowed,56102,Bachelor's,Full-time,18,2025-04-30,64,1
+1-731-249-1905x8651,gshort@example.com,579,18-25,Widowed,15000,Master's,Part-time,22,2025-07-05,5,0
+1-672-762-8498x7769,mariahmiller@example.com,760,36-45,Married with Kids,127658,Master's,Full-time,52,2025-02-26,100,1
699.765.0752x735,nicole48@example.org,673,26-35,Married with Kids,35694,High School,Full-time,51,2025-04-16,99,1
913.267.8377,phillipsrichard@example.org,629,36-45,Married,62568,High School,Full-time,58,2025-03-10,93,1
001-757-988-5685,kristopher31@example.net,662,26-35,Married with Kids,38099,Bachelor's,Self-employed,67,2025-02-17,100,1
682-333-7498,kennethward@example.com,570,18-25,Married with Kids,70838,Professional,Full-time,76,2025-01-16,58,0
+1-324-200-8427,taylor75@example.org,647,56+,Married,15000,Professional,Unemployed,41,2025-07-06,27,0
671-316-7190x229,davidduran@example.net,697,46-55,Single,100746,Master's,Full-time,53,2025-05-01,93,1
+1-238-367-7496x499,colleenbaker@example.org,742,46-55,Married with Kids,85693,Bachelor's,Full-time,54,2025-02-11,100,1
(681)220-6797,keithcampbell@example.com,676,26-35,Married with Kids,15000,Bachelor's,Student,77,2025-01-26,96,1
649.436.1832,brownlaura@example.net,594,18-25,Divorced,43365,Bachelor's,Self-employed,34,2025-05-28,38,0
001-947-917-4648,georgepamela@example.net,639,56+,Married with Kids,45382,Master's,Full-time,62,2025-03-13,86,1
901-639-9049x027,wendygraham@example.com,672,46-55,Married with Kids,50114,High School,Full-time,59,2025-07-07,100,1
256.955.1256x7468,edwardsmarcus@example.com,648,26-35,Single,28476,High School,Self-employed,53,2025-06-18,65,1
9879603859,harrisandrea@example.com,539,18-25,Married with Kids,22057,Master's,Full-time,34,2025-04-02,53,0
001-371-509-3248x086,murraydavid@example.org,642,46-55,Married with Kids,15000,Bachelor's,Unemployed,44,2025-04-13,55,0
001-548-446-7737x826,hillkristy@example.com,653,18-25,Single,15000,High School,Part-time,28,2025-03-16,42,0
